id,name,handle
1993521,One Month Subscription,1-month-subscription
1993783,Three Month Subscription,3-month-subscription
1993784,Six Month Subscription,6-month-subscription
2253194,s,
2892087,Test Subscription,test
3294319,CA One Month Subscription,ca-1-month-subscription
3296340,Canadian One Month,canadian-one-month
3351434,United Kingdom One Month,gb-1-month-subscription
3351435,Australia One Month Subscription,au-1-month-subscription
3386252,CA Three Month Subscription,ca-3-month-subscription
3386280,CA Six Month Subscription,ca-6-month-subscription
3386282,Australia Three Month Subscription,au-3-month-subscription
3386283,Australia Six Month Subscription,au-6-month-subscription
3386284,United Kingdom Three Month,gb-3-month-subscription
3386285,United Kingdom Six Month,gb-6-month-subscription
3456205,Germany One Month Subscription,de-1-month-subscription
3456206,Ireland One Month Subscription,ie-1-month-subscription
3456207,Netherlands One Month Subscription,nl-1-month-subscription
3456208,Norway One Month Subscription,no-1-month-subscription
3456210,Sweden One Month Subscription,se-1-month-subscription
3456211,Germany Three Month Subscription,de-3-month-subscription
3456212,Ireland Three Month Subscription,ie-3-month-subscription
3456213,Netherlands Three Month Subscription,nl-3-month-subscription
3456214,Norway Three Month Subscription,no-3-month-subscription
3456215,Sweden Three Month Subscription,se-3-month-subscription
3456216,Germany Six Month Subscription,de-6-month-subscription
3456217,Ireland Six Month Subscription,ie-6-month-subscription
3456218,Netherlands Six Month Subscription,nl-6-month-subscription
3456219,Norway Six Month Subscription,no-6-month-subscription
3456220,Sweden Six Month Subscription,se-6-month-subscription
3457585,Denmark One Month Subscription,dk-1-month-subscription
3457586,Denmark Three Month Subscription,dk-3-month-subscription
3457587,Denmark Six Month Subscription,dk-6-month-subscription
3568770,CA One Month Subscription,ca-1-month-subscription
3568771,CA Three Month Subscription,ca-3-month-subscription
3568772,CA Six Month Subscription,ca-6-month-subscription
3568773,Denmark One Month Subscription,dk-1-month-subscription
3568774,United Kingdom One Month,gb-1-month-subscription
3568775,Australia One Month Subscription,au-1-month-subscription
3568776,Germany One Month Subscription,de-1-month-subscription
3568777,Ireland One Month Subscription,ie-1-month-subscription
3568778,Netherlands One Month Subscription,nl-1-month-subscription
3568779,Norway One Month Subscription,no-1-month-subscription
3568780,Sweden One Month Subscription,se-1-month-subscription
3568781,Denmark Three Month Subscription,dk-3-month-subscription
3568782,Australia Three Month Subscription,au-3-month-subscription
3568783,United Kingdom Three Month,gb-3-month-subscription
3568784,Germany Three Month Subscription,de-3-month-subscription
3568785,Ireland Three Month Subscription,ie-3-month-subscription
3568786,Netherlands Three Month Subscription,nl-3-month-subscription
3568787,Norway Three Month Subscription,no-3-month-subscription
3568788,Sweden Three Month Subscription,se-3-month-subscription
3568789,Denmark Six Month Subscription,dk-6-month-subscription
3568790,Australia Six Month Subscription,au-6-month-subscription
3568791,United Kingdom Six Month,gb-6-month-subscription
3568792,Germany Six Month Subscription,de-6-month-subscription
3568793,Ireland Six Month Subscription,ie-6-month-subscription
3568794,Netherlands Six Month Subscription,nl-6-month-subscription
3568795,Norway Six Month Subscription,no-6-month-subscription
3568796,Sweden Six Month Subscription,se-6-month-subscription
3568797,One Month Subscription,1-month-subscription
3568798,Canadian One Month,canadian-one-month
3568799,Three Month Subscription,3-month-subscription
3568800,Six Month Subscription,6-month-subscription
3568801,s,
3568802,Test Subscription,test
3594068,amiibo CRATE (Single Payment),amiibo-crate-single-payment
3594069,amiibo CRATE (Three Weekly Payments),amiibo-crate-three-weekly-payments
